0;73081
1;178196
2;13991
3;127282
4;560152
5;503979
6;14487
7;379660
8;15769
9;302431
10;310742
11;156271
12;69978
13;56762
14;228501
15;481041
16;216886
17;60203
18;224490
19;286728
20;336310
21;311608
22;310045
23;642369
24;722275
25;297267
26;543151
27;466944
28;294982
29;459966
30;226799
31;733266
32;396142
33;695116
34;779712
35;320945
36;484617
37;302422
38;438957
39;326110
40;775603
41;438525
42;1302056
43;265414
44;741308
45;319802
46;915745
47;548977
48;432969
49;879131
50;661343
51;881309
52;2037769
53;663091
54;809192
55;594293
56;666449
57;531971
58;401906
59;558297
60;544736
61;599683
62;1117672
63;838603
64;739412
65;552056
66;397258
67;598932
68;929716
69;679727
70;772540
71;753641
72;550548
73;1173503
74;789844
75;1159875
76;816867
77;1265273
78;1070666
79;1444397
80;1163014
81;1233093
82;997592
83;1009935
84;1608725
85;1386833
86;1297702
87;885273
88;1002285
89;882557
90;702718
91;1281128
92;1746387
93;1090021
94;1497453
95;737468
96;1828337
97;1362887
98;1183860
99;1621599
100;1215522
101;1622055
102;1423130
103;1676200
104;1616795
105;1659276
106;1702526
107;1429021
108;1540600
109;1222907
110;1265990
111;1449417
112;1256774
113;1242045
114;1099941
115;1765452
116;820945
117;851722
118;1363220
119;1776075
120;2722572
121;1212757
122;1450084
123;1450235
124;1048122
125;1372218
126;1514513
127;1417136
128;1364165
129;1864209
130;1128662
131;1715043
132;2425173
133;2544350
134;1333670
135;1186400
136;1793769
137;1707497
138;1445651
139;2163866
140;2274882
141;1597807
142;1122434
143;2002508
144;1407812
145;1840060
146;1561756
147;2398890
148;2167447
149;2478511
150;2082723
151;2348432
152;1554729
153;978032
154;1945943
155;2292849
156;2053274
157;3207039
158;2121398
159;1710566
160;1720621
161;1949093
162;1635942
163;2126269
164;2005063
165;1833412
166;2199162
167;2056077
168;2685283
169;1779660
170;1461018
171;1947040
172;3191986
173;1887738
174;3119145
175;1841570
176;2871435
177;1956507
178;2147067
179;1705813
180;2556336
181;2393920
182;1942362
183;2226526
184;2171604
185;2120130
186;2369607
187;2351768
188;1908173
189;2702211
190;2129710
191;2189287
192;2150669
193;2077624
194;2888437
195;3158141
196;2362077
197;2892540
198;2061665
199;2232635
200;2307987
201;1858317
202;3262651
203;1389831
204;2301714
205;2011067
206;2401128
207;2715182
208;2677916
209;2994007
210;3000289
211;2697712
212;3263501
213;2477671
214;3746326
215;2934420
216;1912062
217;2004470
218;2661626
219;2236756
220;2157782
221;2835852
222;2133844
223;1798679
224;2541174
225;3178674
226;2920627
227;2574528
228;2434443
229;3763911
230;2858646
231;2106225
232;2741307
233;2858035
234;2880132
235;2403152
236;3894444
237;2962713
238;3206658
239;2362305
240;2232263
241;2684281
242;2491225
243;3138896
244;2705353
245;3105322
246;2698737
247;2959268
248;3801385
249;2538701
250;3729979
251;3236782
252;3046035
253;2583354
254;3475567
255;2937545
256;3729407
257;4045597
258;2948268
259;2884164
260;3615664
261;3229643
262;3292410
263;2985284
264;3192281
265;3776869
266;3903249
267;3689282
268;3637311
269;2887589
270;2669450
271;2850590
272;2609330
273;2737845
274;2607609
275;3049048
276;3265120
277;3822100
278;3587675
279;5450522
280;3187576
281;2856064
282;4426416
283;3374828
284;3339721
285;2380722
286;5012250
287;3219504
288;3525386
289;3864253
290;3347970
291;3702273
292;5133277
293;5466606
294;4368983
295;4471136
296;6265323
297;3035474
298;3721202
299;3474478
300;3970659
301;2631536
302;4762613
303;3124183
304;4082439
305;3514064
306;4220608
307;3320111
308;3626641
309;3312117
310;3381506
311;2924500
312;4693983
313;4007628
314;3311844
315;3774402
316;3108929
317;4708470
318;4472571
319;3356402
320;4091590
321;3765771
322;3882758
323;3517082
324;4236089
325;5027521
326;4992215
327;3525981
